($million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,ABN,Institution Name, Cash and deposits with financial institutions , Trading securities , Investment securities , Net acceptances of customers , Total residents assets , Total securitised assets on balance sheet , Loans to non-financial businesses , Loans to financial institutions , Loans to general government , Loans to households: Housing: Owner-occupied , Loans to households: Housing: Investment , Loans to households: Credit cards , Loans to households: Other , Loans to community service organisations , Total residents loans and finance leases , Intra-group loans and finance leases , Acceptances , Intra-group deposits , Negotiable Certificates of Deposit , Total short-term borrowings , Total long-term borrowings , Deposits by non-financial businesses , Deposits by financial institutions , Deposits by general government , Deposits by households , Deposits by community service organisations , Total residents deposits ,,
30/09/2022,24125167553,China Construction Bank Corporation,246,0,"1,787",0,"6,199",0,"4,256",444,0,0,0,0,0,0,"4,700",0,0,0,10,"3,384","1,428",245,12,22,12,0,290,,
30/09/2022,69322403457,"China Everbright Bank Co., Ltd",50,0,"3,393",0,"5,521",0,"1,975",113,0,0,0,0,0,35,"2,123",0,0,0,456,"1,776",300,845,0,0,0,0,845,,
30/09/2022,96609857383,"China Merchants Bank Co., Ltd",37,0,204,0,627,0,320,93,0,0,0,0,0,0,413,0,0,0,0,620,615,3,0,0,2,0,5,,
30/09/2022,34072814058,"Citibank, N.A.","10,830",46,"5,115",2,"27,233",0,"3,608","2,462",77,0,0,0,0,0,"6,147","1,095",2,"4,425",0,0,750,"6,453","7,785",1,0,0,"14,239",,
30/09/2022,88087649910,Coastline Credit Union Limited,55,0,86,0,806,0,68,1,0,440,126,2,22,0,658,,0,,,0,0,2,91,16,613,21,743,,
30/09/2022,48123123124,Commonwealth Bank of Australia,"92,082","6,475","66,939",0,"1,159,463","203,405","167,066","19,010","24,383","350,183","174,275","8,079","14,028",788,"757,811","45,804",0,"3,033","25,423","39,206","99,433","175,799","102,488","53,512","358,728","8,180","698,707",,
30/09/2022,80087649938,Community First Credit Union Limited,49,0,191,0,"1,634",156,9,0,0,718,195,19,70,0,"1,011",,0,,,0,0,99,39,1,965,12,"1,115",,
30/09/2022,70003917655,Cooperatieve Rabobank U.A.,439,192,295,0,"18,491",0,"6,063",0,0,0,0,0,0,81,"6,144",0,0,160,"2,145","5,965","2,932",2,183,0,0,0,185,,
30/09/2022,80654071075,Credit Agricole Corporate and Investment Bank,2,0,388,0,"5,680",0,"5,253",0,0,0,0,0,0,0,"5,253",0,0,0,0,0,0,0,0,0,0,0,0,,
30/09/2022,17061700712,Credit Suisse AG,262,0,"1,229",0,"6,539",0,"3,413",221,0,64,67,0,"1,001",30,"4,796",383,0,362,0,"5,994","1,900","5,551",430,0,306,0,"6,287",,
30/09/2022,44087650959,Credit Union Australia Ltd,575,0,"2,092",0,"20,955","4,990",100,0,0,"11,652","2,774",40,308,0,"14,874",,0,,,310,500,464,"1,008",14,"11,243",21,"12,749",,
30/09/2022,36087651232,Credit Union SA Ltd,132,0,142,0,"1,552",275,16,0,0,937,267,8,41,0,"1,270",,0,,,49,0,62,33,0,"1,217",14,"1,326",,
30/09/2022,95087822455,Cuscal Limited,"1,667",0,"1,617",0,"3,429",0,2,1,0,0,0,0,0,0,2,,0,,,7,0,786,"2,041",0,0,0,"2,827",,
30/09/2022,46601105373,DBS Bank Ltd,109,0,"3,545",0,"11,237",0,"7,021",350,0,0,0,0,0,0,"7,371",0,0,0,"3,308","3,511","1,201",129,511,0,0,0,641,,
30/09/2022,57087651385,Defence Bank Limited,92,0,446,0,"3,944",958,0,0,0,"2,054",498,9,148,0,"2,710",0,0,0,194,194,15,58,171,189,"1,911",75,"2,403",,
30/09/2022,13064165162,Deutsche Bank Aktiengesellschaft,523,103,"3,116",0,"11,997",0,"1,493","1,839",0,0,0,0,0,0,"3,332","3,083",0,"1,594",218,218,417,15,193,0,0,0,208,,
30/09/2022,59087651394,Dnister Ukrainian Credit Co-operative Limited,7,0,39,0,231,0,20,0,0,90,56,0,3,0,169,,0,,,0,3,0,10,0,190,0,200,,
30/09/2022,60606234879,"E.SUN Commercial Bank, Ltd.",2,0,"1,017",0,"2,932",0,"1,759",184,0,0,0,0,0,0,"1,944",0,0,0,161,271,0,48,0,0,24,0,71,,
30/09/2022,15126292608,First Commercial Bank,17,0,470,0,"2,854",0,"2,238",130,0,0,0,0,0,0,"2,368",0,0,0,455,"1,132",0,292,0,0,10,0,302,,
30/09/2022,95087650735,First Option Bank Ltd,21,0,27,0,272,0,3,0,0,168,48,1,2,0,223,,0,,,12,4,20,0,0,217,0,237,,
30/09/2022,72087650637,G&C Mutual Bank Limited,119,0,317,0,"1,823",281,143,0,0,711,205,5,33,0,"1,098",0,0,0,193,193,0,63,194,0,859,13,"1,130",,
30/09/2022,47087650093,Gateway Bank Ltd,44,0,222,0,"1,569",329,30,22,0,786,128,0,121,0,"1,086",0,0,0,0,0,0,28,219,0,800,0,"1,047",,
30/09/2022,87087651509,Goulburn Murray Credit Union Co-operative Limited,50,0,152,0,540,0,34,1,0,233,56,0,4,0,328,,0,,,0,0,57,13,2,394,15,480,,
30/09/2022,88087651956,Greater Bank Limited,74,0,"2,594",0,"10,096","2,064",68,0,0,"3,980","1,138",21,109,0,"5,316",0,0,5,0,0,0,523,227,23,"6,207",95,"7,075",,
30/09/2022,32087652024,Heritage Bank Limited,245,0,"2,282",0,"14,211","2,538",351,57,0,"6,138","2,039",60,124,0,"8,769",278,0,0,267,509,692,"1,407",494,5,"7,491",89,"9,487",,
30/09/2022,66087650173,Horizon Credit Union Ltd,36,1,100,0,662,0,22,0,0,354,127,2,12,0,517,,0,,,0,7,53,0,0,538,12,603,,
30/09/2022,48006434162,HSBC Bank Australia Limited,"2,736",0,"10,835",25,"59,704","10,444","3,503",222,0,"19,718","7,878",519,329,0,"32,169",0,25,239,0,0,0,"12,660","3,991",33,"15,009",36,"31,728",,
30/09/2022,54138221637,"Hua Nan Commercial Bank, Ltd.",7,0,317,0,"1,337",0,879,127,0,0,0,0,0,0,"1,006",0,0,0,149,154,0,1,0,0,0,0,1,,
30/09/2022,85051868556,Hume Bank Limited,161,0,258,0,"1,917",261,63,11,0,899,231,6,12,1,"1,223",0,0,0,0,0,15,194,62,12,"1,201",60,"1,529",,
30/09/2022,14087650771,Illawarra Credit Union Limited,28,0,123,0,"1,028",75,19,0,0,612,228,0,4,0,863,,0,,,0,10,70,142,15,657,0,884,,
30/09/2022,92087651974,IMB Ltd,163,0,"1,167",0,"8,807","1,751",273,17,0,"3,816","1,177",0,312,0,"5,596",1,0,5,167,166,70,512,424,89,"4,877",131,"6,032",,
30/09/2022,97087822464,Indue Ltd,627,0,71,0,756,0,1,1,0,0,0,0,0,0,2,,0,,,0,0,261,387,0,0,25,673,,
30/09/2022,57086866506,Industrial and Commercial Bank of China Limited,155,"2,922","1,742",0,"14,762",0,"9,829",529,0,0,0,0,0,0,"10,358",0,0,0,"1,415","8,648","1,969","2,614","1,692",383,19,0,"4,709",,
30/09/2022,24000893292,ING Bank (Australia) Limited,"1,082",0,"6,878",0,"96,734","17,627","13,680",514,0,"46,565","8,672",92,274,0,"69,797","5,245",0,"12,528","1,264",507,"4,137","1,709","1,759",972,"45,418",35,"49,893",,
30/09/2022,32080178196,ING Bank N.V.,300,0,621,0,"13,152",0,0,0,0,0,0,0,0,0,0,"12,164",0,"1,255","1,804","1,806",15,0,0,0,0,0,0,,
30/09/2022,46156153829,Intesa Sanpaolo SPA,10,0,579,0,"2,060",0,"1,334",100,0,0,0,0,0,0,"1,434",0,0,0,40,40,0,50,0,0,0,0,50,,
30/09/2022,43074112011,"JPMorgan Chase Bank, National Association","15,017",0,"3,777",9,"35,150",0,"1,738","2,359",0,0,0,0,0,0,"4,097",634,9,"1,444",0,0,0,"3,866","10,721",0,0,1,"14,588",,
30/09/2022,11615995581,Judo Bank Pty Ltd,515,0,"2,664",0,"14,073","3,962","6,119",0,0,368,347,0,0,0,"6,833",0,0,0,0,509,372,391,810,219,"3,218",86,"4,723",,
30/09/2022,96164085563,KEB HANA Bank,20,0,95,0,892,0,770,0,0,6,1,0,0,0,777,0,0,0,453,453,100,187,1,0,0,0,188,,
30/09/2022,77087650217,Laboratories Credit Union Limited,69,0,0,0,252,0,2,0,0,137,39,0,4,0,182,,0,,,0,0,29,0,0,204,0,234,,
30/09/2022,25044678441,Lutheran Laypeople's League of Australia Limited,294,0,839,0,"1,392",0,249,0,0,0,0,0,0,0,249,0,0,0,0,0,0,458,38,0,607,133,"1,236",,
30/09/2022,83087650244,Macarthur Credit Union Ltd,53,0,88,0,369,0,5,0,0,159,48,0,9,0,221,,0,,,0,0,24,0,0,316,0,339,,
30/09/2022,46008583542,Macquarie Bank Limited,"39,140",288,"13,330",0,"254,631","64,674","15,696","2,943",0,"55,516","41,978",430,"6,286",1,"122,850","3,395",0,"18,618","1,197","37,620","32,605","38,549","38,430","1,191","45,614","1,720","125,504",,
30/09/2022,94087651983,Maitland Mutual Limited,118,0,114,0,"1,197",188,102,0,0,468,166,1,9,1,746,0,0,0,0,0,4,191,106,15,572,23,906,,
30/09/2022,27079372688,"Mega International Commercial Bank Co., Ltd.",79,"1,125",236,0,"4,368",0,"2,779",131,0,7,9,0,3,0,"2,929",0,0,0,477,547,0,146,2,0,21,0,169,,
30/09/2022,83087651054,Members Banking Group Limited,125,0,398,0,"3,347",656,3,0,0,"1,604",371,0,109,0,"2,086",0,0,4,118,118,210,53,42,0,"1,971",3,"2,070",,
30/09/2022,83099031106,"Mizuho Bank, Ltd.","2,632",0,"2,060",170,"26,007",0,"16,967","3,555",0,0,0,0,0,0,"20,522",0,170,0,"8,150","7,441","3,200","3,224",472,0,0,0,"3,696",,
30/09/2022,75103418882,"MUFG Bank, Ltd.","1,811",494,"2,597",308,"28,823",0,"16,393","6,693",0,0,0,0,0,0,"23,086",0,308,0,"5,866","5,368","1,629","11,291","2,907",182,0,0,"14,380",,
30/09/2022,89067729195,MyState Bank Limited,163,0,"1,049",0,"8,661","1,080",51,30,0,"5,078","1,161",0,64,0,"6,384",0,0,0,505,505,264,947,426,0,"4,760",0,"6,132",,
