($million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,ABN,Institution Name, Cash and deposits with financial institutions , Trading securities , Investment securities , Net acceptances of customers , Total residents assets , Total securitised assets on balance sheet , Loans to non-financial businesses , Loans to financial institutions , Loans to general government , Loans to households: Housing: Owner-occupied , Loans to households: Housing: Investment , Loans to households: Credit cards , Loans to households: Other , Loans to community service organisations , Total residents loans and finance leases , Intra-group loans and finance leases , Acceptances , Intra-group deposits , Negotiable Certificates of Deposit , Total short-term borrowings , Total long-term borrowings , Deposits by non-financial businesses , Deposits by financial institutions , Deposits by general government , Deposits by households , Deposits by community service organisations , Total residents deposits ,,
31/12/2021,37002950745,Arab Bank Australia Limited,66,0,273,0,"1,275",123,262,0,0,252,224,0,54,4,796,0,0,0,1,1,0,302,222,10,381,4,919,,
31/12/2021,11005357522,Australia and New Zealand Banking Group Limited,"77,320","27,186","39,706",76,"671,756","80,826","119,657","12,114",834,"173,547","87,029","5,235","11,251","1,065","410,733","18,584",77,581,"30,936","61,561","66,031","131,946","54,681","6,643","153,882","4,620","351,772",,
31/12/2021,11087651125,Australian Central Credit Union Ltd,179,0,"1,337",0,"11,655","2,981",27,0,0,"6,397","1,530",37,343,0,"8,335",,0,,,9,463,531,171,4,"6,638",14,"7,358",,
31/12/2021,48087649741,Australian Military Bank Ltd,81,0,185,0,"1,948",401,0,0,0,"1,000",202,11,58,0,"1,271",0,0,0,107,106,75,41,269,42,781,121,"1,255",,
31/12/2021,93087650726,Australian Mutual Bank Ltd,190,0,387,0,"2,338",582,15,0,0,820,273,8,41,1,"1,156",0,0,0,0,0,24,67,33,0,"1,399",37,"1,536",,
31/12/2021,14087822491,Australian Settlements Limited,322,0,113,0,447,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,2,425,0,0,0,426,,
31/12/2021,30087652079,Australian Unity Bank Limited,72,0,153,0,"1,368",225,35,73,0,579,248,4,4,0,943,0,0,0,0,0,0,36,106,14,876,20,"1,051",,
31/12/2021,40087652060,Auswide Bank Ltd,156,0,327,0,"5,196","1,136",117,0,0,"2,671",775,1,24,0,"3,589",1,0,0,349,349,212,679,246,190,"1,869",43,"3,026",,
31/12/2021,32087652088,B&E Ltd,109,0,113,0,"1,788",245,29,0,0,814,184,3,18,0,"1,047",245,0,0,18,18,5,70,98,7,929,17,"1,120",,
31/12/2021,21087651607,Bank Australia Limited,254,444,"1,334",0,"10,822","1,753",311,24,0,"5,170","1,185",18,166,86,"6,961",0,0,3,150,150,316,528,123,13,"6,295",235,"7,194",,
31/12/2021,51064874531,"Bank of America, National Association","1,782",-122,"4,217",0,"18,659",0,"3,411","8,386",0,0,0,0,0,0,"11,797",0,0,"1,214",0,3,0,"2,891","1,937",0,0,2,"4,830",,
31/12/2021,48125314249,Bank of Baroda,142,0,0,0,600,0,459,0,0,0,0,0,0,0,459,0,0,0,0,0,0,10,54,0,7,0,71,,
31/12/2021,28110077622,Bank of China (Australia) Limited,513,168,458,0,"5,797",444,37,26,0,"3,389","1,163",2,1,0,"4,617",0,0,0,801,454,400,21,114,0,"2,939",0,"3,073",,
31/12/2021,29002979955,Bank of China Limited,"1,896","1,095","2,995",0,"24,021",0,"15,287","1,711",108,0,0,0,0,0,"17,106",785,0,3,"3,092","4,349","3,715","8,327","5,164",168,0,0,"13,659",,
31/12/2021,74137909963,"Bank of Communications Co., Ltd.",5,0,"5,632",0,"7,755",0,"4,166",815,0,0,0,0,0,0,"4,982",0,0,0,180,"2,548","2,317",20,1,0,0,0,20,,
31/12/2021,32009656740,Bank of Queensland Limited,"1,918",600,"6,836",0,"74,709","12,497","11,897","1,398",0,"20,266","12,403",65,570,24,"46,624","7,507",0,261,"3,354","3,629","7,197","11,146","7,406","2,719","19,465",763,"41,499",,
31/12/2021,44093488629,Bank of Sydney Ltd,128,0,447,0,"3,276",638,676,23,0,804,404,1,13,46,"1,966",0,0,0,0,0,0,610,209,48,"1,042",75,"1,984",,
31/12/2021,71608940718,Bank of Taiwan,1,0,228,0,507,0,230,46,0,0,0,0,0,0,276,0,0,0,0,61,0,18,0,0,0,0,18,,
31/12/2021,95644502170,Barclays Bank PLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31/12/2021,11068049178,Bendigo and Adelaide Bank Limited,"7,847",58,"3,762",0,"103,375","16,628","14,295","1,499",47,"37,720","16,134",284,"1,969",20,"71,969","3,034",0,55,"5,489","5,487","4,245","20,401","3,061","1,803","38,771",119,"64,156",,
31/12/2021,15087651143,Beyond Bank Australia Limited,245,0,"1,341",0,"9,536","2,269",213,55,0,"4,387","1,070",16,543,3,"6,287",0,0,0,0,480,536,707,178,16,"5,126",226,"6,252",,
31/12/2021,63087651849,BNK Banking Corporation Limited,105,0,168,0,"1,091",0,12,16,0,478,238,0,2,0,745,,0,,,0,24,495,36,0,290,1,822,,
31/12/2021,23000000117,BNP Paribas,"1,406",54,"2,398",0,"11,411",0,"5,212",508,0,0,0,0,0,0,"5,719",141,0,798,"1,118","1,342",0,"4,694",138,60,0,0,"4,892",,
31/12/2021,87149440291,BNP Paribas Securities Services,"1,092",0,"1,344",0,"8,202",0,0,229,0,0,0,0,0,0,229,"4,562",0,9,0,0,0,4,"10,925",0,0,0,"10,929",,
31/12/2021,33608235847,Canadian Imperial Bank of Commerce,226,0,965,0,"4,968",0,"3,770",0,0,0,0,0,0,0,"3,770",0,0,0,"3,950","3,950","3,500",0,0,0,0,0,0,,
31/12/2021,67087649885,Central West Credit Union Limited,36,0,52,0,234,0,8,0,0,102,26,0,9,0,145,,0,,,0,0,9,0,0,196,7,212,,
31/12/2021,24125167553,China Construction Bank Corporation,646,0,"2,141",0,"6,433",0,"3,926",359,0,0,0,0,0,0,"4,285",0,0,0,475,"2,097",899,747,15,21,14,0,797,,
31/12/2021,69322403457,"China Everbright Bank Co., Ltd",61,0,"2,000",0,"3,205",0,"1,204",48,0,0,0,0,0,0,"1,252",0,0,0,434,403,300,123,0,0,0,0,123,,
31/12/2021,96609857383,"China Merchants Bank Co., Ltd",88,0,233,0,654,0,299,61,0,0,0,0,0,0,360,0,0,0,0,750,0,6,0,0,2,0,7,,
31/12/2021,34072814058,"Citibank, N.A.","4,561",129,"5,617",2,"23,463",0,"3,826","1,889",0,0,0,0,0,0,"5,715",719,2,"2,101",0,0,750,"5,575","7,887",23,0,0,"13,485",,
31/12/2021,88004325080,Citigroup Pty Limited,"4,873",0,"1,041",0,"22,800","2,752",313,0,0,"4,875","2,572","3,316",870,1,"11,947",0,0,"3,584",0,0,660,"1,808",185,0,"6,026",64,"8,084",,
31/12/2021,88087649910,Coastline Credit Union Limited,65,0,72,0,766,0,55,2,0,430,112,2,23,0,624,,0,,,0,2,90,92,2,496,29,709,,
31/12/2021,48123123124,Commonwealth Bank of Australia,"79,847","4,678","72,819",0,"1,059,814","157,413","151,280","17,180","15,201","335,522","170,656","8,117","13,905",841,"712,701","44,740",0,"1,981","29,936","50,883","94,980","169,698","86,069","41,475","339,480","7,634","644,355",,
31/12/2021,80087649938,Community First Credit Union Limited,99,0,162,0,"1,720",188,10,0,0,735,199,20,57,0,"1,020",,0,,,0,0,112,74,5,945,11,"1,148",,
31/12/2021,70003917655,Cooperatieve Rabobank U.A.,631,189,517,0,"17,093",0,"6,111",0,0,0,0,0,0,125,"6,236",2,0,80,"2,203","3,959","3,322",52,156,0,0,0,208,,
31/12/2021,17061700712,Credit Suisse AG,296,0,"1,246",0,"7,530",0,"3,595",315,0,78,53,0,"1,032",24,"5,097","1,051",0,380,50,"4,691","1,749","4,309",301,0,266,0,"4,877",,
31/12/2021,44087650959,Credit Union Australia Ltd,698,0,"1,889",0,"20,161","4,805",96,0,0,"11,239","2,646",35,341,0,"14,357",,0,,,327,700,458,817,23,"10,737",20,"12,055",,
31/12/2021,36087651232,Credit Union SA Ltd,92,0,196,0,"1,358",216,9,0,0,792,213,8,39,1,"1,061",,0,,,2,0,61,34,0,"1,069",15,"1,178",,
31/12/2021,95087822455,Cuscal Limited,"1,337",0,"1,753",0,"3,199",0,0,0,0,0,0,0,0,0,0,,0,,,5,0,863,"1,803",0,0,0,"2,666",,
31/12/2021,46601105373,DBS Bank Ltd,446,0,"2,417",0,"8,405",0,"5,302",235,0,0,0,0,0,0,"5,537",0,0,0,"3,182","3,251",700,329,368,0,0,0,697,,
31/12/2021,57087651385,Defence Bank Limited,69,0,388,0,"3,854","1,103",0,0,0,"1,934",459,10,136,0,"2,540",0,0,0,168,168,15,64,168,156,"1,765",69,"2,222",,
31/12/2021,13064165162,Deutsche Bank Aktiengesellschaft,739,134,"2,486",0,"10,184",0,"1,164","1,525",0,0,0,0,0,0,"2,688","2,296",0,"1,045",252,252,417,71,3,0,0,0,74,,
31/12/2021,59087651394,Dnister Ukrainian Credit Co-operative Limited,6,0,41,0,225,0,18,0,0,90,53,0,3,0,164,,0,,,0,3,0,10,0,185,0,195,,
31/12/2021,60606234879,"E.SUN Commercial Bank, Ltd.",73,0,997,0,"2,405",0,"1,172",206,0,0,0,0,0,0,"1,377",0,0,0,125,125,0,20,0,0,14,0,34,,
31/12/2021,15126292608,First Commercial Bank,31,0,320,0,"2,364",0,"1,943",75,0,0,0,0,0,0,"2,018",0,0,0,374,"1,230",0,211,0,0,9,0,220,,
31/12/2021,95087650735,First Option Bank Ltd,37,0,29,0,259,0,3,0,0,140,45,1,3,0,192,,0,,,0,4,25,0,0,212,0,237,,
31/12/2021,72087650637,G&C Mutual Bank Limited,120,0,268,0,"1,731",339,121,0,0,651,179,5,44,0,999,0,0,0,207,207,0,51,169,1,743,13,977,,
31/12/2021,47087650093,Gateway Bank Ltd,52,0,176,0,"1,360",292,34,25,0,667,141,0,93,0,961,0,0,0,0,0,0,19,221,0,652,0,892,,
31/12/2021,87087651509,Goulburn Murray Credit Union Co-operative Limited,57,0,154,0,533,0,24,1,0,228,53,0,5,1,312,,0,,,0,0,57,14,6,382,17,476,,
31/12/2021,88087651956,Greater Bank Limited,95,0,"2,597",0,"10,201","2,158",76,0,0,"4,092","1,157",21,114,0,"5,459",0,0,4,34,34,0,559,258,26,"6,114",93,"7,050",,
31/12/2021,32087652024,Heritage Bank Limited,281,0,"2,642",0,"14,199","2,623",332,63,0,"5,899","1,856",64,135,0,"8,349",371,0,0,84,294,892,"1,420",553,18,"7,414",88,"9,492",,
31/12/2021,66087650173,Horizon Credit Union Ltd,46,0,94,0,638,0,19,0,0,347,112,2,12,0,492,,0,,,7,7,56,0,0,510,12,578,,
31/12/2021,48006434162,HSBC Bank Australia Limited,"5,309",0,"10,453",12,"56,522","12,624","3,176",35,44,"17,870","7,063",551,232,0,"28,971",0,12,134,0,0,41,"12,462","3,667",17,"13,701",22,"29,868",,
31/12/2021,54138221637,"Hua Nan Commercial Bank, Ltd.",21,0,249,0,"1,165",0,800,92,0,0,0,0,0,0,892,0,0,0,25,153,0,3,0,0,0,0,3,,
31/12/2021,85051868556,Hume Bank Limited,180,0,269,0,"1,822",250,63,12,0,802,211,6,15,1,"1,110",0,0,0,0,0,0,180,62,17,"1,143",67,"1,469",,
31/12/2021,14087650771,Illawarra Credit Union Limited,60,0,133,0,985,97,15,0,0,559,201,0,5,0,779,,0,,,0,10,77,142,15,590,0,824,,
31/12/2021,92087651974,IMB Ltd,215,0,"1,207",0,"8,730","1,725",249,17,0,"3,724","1,132",0,319,0,"5,442",1,0,6,82,82,110,536,436,96,"4,828",101,"5,996",,
31/12/2021,97087822464,Indue Ltd,566,0,72,0,694,0,4,0,0,0,0,0,0,0,4,,0,,,0,0,255,336,0,0,22,612,,
31/12/2021,57086866506,Industrial and Commercial Bank of China Limited,299,"2,979","1,548",0,"12,961",0,"8,368",929,0,0,0,0,0,0,"9,297",0,0,0,"1,996","7,699","2,463","2,674","1,403",296,12,0,"4,384",,
31/12/2021,24000893292,ING Bank (Australia) Limited,"3,144",0,"5,781",0,"92,803","17,012","12,219",394,0,"45,249","8,317",77,238,0,"66,495","3,433",0,"13,018",718,310,"2,759","1,936","2,380",750,"42,486",41,"47,593",,
31/12/2021,32080178196,ING Bank N.V.,538,0,524,0,"13,732",0,0,0,0,0,0,0,0,0,0,"12,642",0,981,"3,634","3,045",565,0,0,0,0,0,0,,
31/12/2021,46156153829,Intesa Sanpaolo SPA,339,0,0,0,"1,563",0,"1,220",0,0,0,0,0,0,0,"1,220",0,0,0,0,4,0,0,0,0,0,0,0,,
31/12/2021,43074112011,"JPMorgan Chase Bank, National Association","32,031",0,"2,863",9,"44,932",0,"2,164",896,0,0,0,0,0,0,"3,060",353,9,"1,721",0,0,0,"2,576","13,211",0,0,2,"15,788",,
31/12/2021,11615995581,Judo Bank Pty Ltd,412,0,"3,025",0,"10,932","2,855","4,357",0,0,254,237,0,0,0,"4,848",0,0,0,0,204,355,421,638,302,"1,806",70,"3,237",,
31/12/2021,96164085563,KEB HANA Bank,23,0,100,0,724,0,587,0,0,8,2,0,0,0,597,0,0,0,550,550,0,103,12,0,0,0,116,,
31/12/2021,77087650217,Laboratories Credit Union Limited,83,0,0,0,247,0,3,0,0,121,35,0,5,0,163,,0,,,0,0,24,0,0,205,0,229,,
31/12/2021,25044678441,Lutheran Laypeople's League of Australia Limited,357,0,805,0,"1,423",0,253,0,0,0,0,0,0,0,253,0,0,0,0,0,0,452,40,0,626,156,"1,273",,
31/12/2021,83087650244,Macarthur Credit Union Ltd,60,0,85,0,361,0,3,0,0,152,45,0,10,0,210,,0,,,0,0,30,0,0,304,0,334,,
31/12/2021,46008583542,Macquarie Bank Limited,"35,814","1,941","6,340",0,"215,772","57,222","14,787","1,960",0,"47,122","33,015",449,"6,313",3,"103,650","7,498",0,"13,788","1,052","36,617","28,504","32,038","32,669","1,070","29,753","2,581","98,111",,
31/12/2021,94087651983,Maitland Mutual Limited,94,0,130,0,"1,160",188,89,0,0,452,168,1,5,1,715,0,0,0,0,0,4,200,106,24,521,23,873,,
31/12/2021,27079372688,"Mega International Commercial Bank Co., Ltd.",25,974,225,0,"4,122",0,"2,837",78,0,8,10,0,4,0,"2,937",0,0,0,535,645,0,268,3,0,17,0,289,,
31/12/2021,83087651054,Members Banking Group Limited,92,0,467,0,"3,353",667,3,0,0,"1,615",377,0,61,0,"2,057",0,0,7,113,113,216,56,64,0,"1,956",3,"2,079",,
31/12/2021,56070887679,Members Equity Bank Limited,529,0,"3,910",0,"35,310","9,555",0,0,0,"19,069","5,710",122,77,0,"24,978",80,0,80,"1,389","1,618","4,476","3,366","5,614","1,514","9,870",535,"20,899",,
31/12/2021,83099031106,"Mizuho Bank, Ltd.","2,133",0,"1,308",0,"21,036",0,"13,779","3,595",0,0,0,0,0,0,"17,374",0,0,0,"11,842","10,354","2,500","1,659",212,0,0,0,"1,871",,
31/12/2021,75103418882,"MUFG Bank, Ltd.",345,510,"3,017",250,"23,194",0,"13,216","5,355",40,0,0,0,0,0,"18,611",0,250,23,"7,690","4,350","3,348","9,737","2,617",487,0,0,"12,840",,
31/12/2021,54087651750,MyLifeMyFinance Limited,56,77,0,0,239,0,0,0,0,83,13,0,1,0,97,,0,,,0,0,8,13,0,137,0,158,,
31/12/2021,89067729195,MyState Bank Limited,183,0,913,0,"7,309","1,082",58,40,0,"4,094",907,0,61,0,"5,160",0,0,0,401,401,199,498,320,0,"4,171",0,"4,989",,
31/12/2021,12004044937,National Australia Bank Limited,"75,284","40,058","32,986",0,"838,980","134,471","190,270","25,529","1,695","178,563","102,385","3,919","13,275",589,"516,224","28,778",0,"9,740","32,655","66,176","95,715","155,417","83,748","19,743","163,597","8,752","431,258",,
31/12/2021,96087651992,Newcastle Permanent Building Society Limited,371,0,"1,960",0,"13,876","1,865",73,0,0,"6,610","2,075",25,591,0,"9,374",,0,,,72,803,747,499,68,"8,137",97,"9,548",,
31/12/2021,36087650422,Northern Inland Credit Union Limited,76,0,60,0,420,0,7,0,0,200,56,1,11,0,276,,0,,,0,0,60,0,0,308,2,370,,
31/12/2021,34087650477,Orange Credit Union Limited,75,0,43,0,288,0,1,0,0,121,31,0,14,0,168,,0,,,0,0,7,2,4,238,7,258,,
31/12/2021,94073598035,Oversea-Chinese Banking Corporation Limited,136,0,"2,660",0,"12,495",0,"9,470",0,0,0,0,0,0,0,"9,470",0,0,0,"5,178","5,178","2,359",326,0,300,5,0,631,,
31/12/2021,93111195389,PayPal Australia Pty Limited,"2,017",0,0,0,"2,252",0,0,0,0,0,0,0,0,0,0,,0,,,0,0,716,14,1,184,44,959,,
31/12/2021,69087651876,Police & Nurses Limited,136,0,"1,168",0,"8,500","1,874",330,93,0,"3,901","1,137",39,52,1,"5,553",72,0,3,299,293,6,424,356,51,"4,564",129,"5,524",,
31/12/2021,95087650799,Police Bank Ltd,146,0,431,0,"2,377",319,1,0,0,"1,386",301,14,75,0,"1,777",0,0,0,60,60,83,89,35,0,"1,859",17,"1,999",,
31/12/2021,30087651205,Police Credit Union Limited,74,0,162,0,"1,192",0,98,0,0,532,230,4,79,0,943,,0,,,0,48,72,3,11,944,5,"1,034",,
31/12/2021,33087651661,Police Financial Services Limited,141,0,816,0,"2,786",530,0,4,0,"1,483",306,12,23,0,"1,828",0,0,0,0,0,86,0,100,2,"2,367",0,"2,469",,
31/12/2021,79087651036,QPCU Limited,66,0,119,0,"1,131",174,0,0,0,559,152,8,26,0,745,0,0,0,59,59,64,117,21,8,590,0,736,,
31/12/2021,53087650557,Qudos Mutual Ltd,214,0,"1,182",0,"5,908","1,239",0,0,0,"2,134","1,092",19,12,0,"3,256",0,0,0,7,7,0,248,359,0,"3,872",14,"4,493",,
31/12/2021,77087651027,Queensland Country Bank Limited,160,0,317,0,"3,149",428,65,0,0,"1,534",394,12,140,1,"2,146",0,0,0,0,0,46,392,110,60,"1,820",74,"2,455",,
31/12/2021,50001621129,Rabobank Australia Limited,"1,074",642,"1,601",0,"18,825",0,"15,525",43,0,75,160,0,2,0,"15,804",0,0,"3,433",0,0,0,"3,558","3,607",188,"4,694",110,"12,157",,
31/12/2021,91087651090,Railways Credit Union Limited,48,0,132,0,703,0,1,0,0,368,121,0,29,0,518,,0,,,0,25,5,18,4,569,8,604,,
31/12/2021,21087650360,Regional Australia Bank Ltd,197,0,421,0,"3,044",523,219,0,0,"1,640",390,9,61,0,"2,318",0,0,0,0,0,0,591,55,6,"1,942",20,"2,614",,
31/12/2021,86076940880,Royal Bank of Canada,93,"1,824","2,043",0,"13,245",0,"2,503","1,588",0,0,0,0,0,0,"4,090",9,0,0,"1,199","1,199","2,582",0,"4,897",0,0,0,"4,897",,
31/12/2021,95607620440,"Shinhan Bank Co., Ltd",87,0,55,0,584,0,394,28,0,0,0,0,0,0,421,0,0,0,318,93,225,5,0,0,0,0,5,,
31/12/2021,71092516286,Societe Generale,2,0,442,0,"3,668",0,"2,814",122,360,0,0,0,0,0,"3,296",0,0,0,0,0,650,0,0,0,0,0,0,,
31/12/2021,80087650673,South West Slopes Credit Union Ltd,104,0,0,0,244,0,3,0,0,102,15,1,18,0,138,,0,,,0,3,19,1,0,189,9,217,,
31/12/2021,82087650682,Southern Cross Credit Union Ltd,38,0,103,0,747,61,46,0,0,413,130,0,13,0,602,,0,,,0,25,70,33,0,527,26,656,,
31/12/2021,35845772731,Standard Chartered Bank,212,0,0,0,"1,375",0,863,295,0,0,0,0,0,0,"1,158",0,0,0,0,0,0,176,34,0,0,0,210,,
31/12/2021,95082610008,State Bank of India,113,0,54,0,"1,607",0,"1,228",261,0,0,0,0,0,0,"1,489",0,0,0,0,124,670,110,10,0,3,0,123,,
31/12/2021,70062819630,State Street Bank and Trust Company,"5,076",0,"3,802",0,"9,180",0,0,49,0,0,0,0,0,0,49,0,0,530,0,8,0,0,"10,037",0,0,0,"10,037",,
31/12/2021,98114053459,Sumitomo Mitsui Banking Corporation,"1,874",0,"4,726",0,"30,416",0,"17,413","5,278",0,0,0,0,0,0,"22,691",413,0,0,"8,503","9,149","4,187","4,336","3,115",0,0,0,"7,451",,
31/12/2021,23087650806,Summerland Financial Services Limited,64,0,175,0,"1,009",0,40,0,0,496,188,2,22,0,749,,0,,,3,2,162,25,2,699,24,912,,
31/12/2021,66010831722,Suncorp-Metway Limited,"4,092","2,144","4,678",0,"81,967","13,333","11,890",91,0,"31,734","12,396",0,"2,038",3,"58,152",483,0,620,"4,132","5,874","7,367","7,965","3,525","1,239","30,922",187,"43,837",,
31/12/2021,30165085638,"Taishin International Bank Co., Ltd",15,0,288,0,952,0,594,121,0,0,0,0,0,0,715,0,0,0,0,0,0,2,0,0,1,0,3,,
31/12/2021,36078577250,"Taiwan Business Bank, Ltd",108,0,264,0,"1,741",0,"1,314",38,0,2,18,0,11,0,"1,383",0,0,0,389,399,0,20,0,0,4,0,24,,
31/12/2021,96139482634,"Taiwan Cooperative Bank, Ltd",7,0,390,0,"1,161",0,802,48,0,0,0,0,0,0,850,0,0,0,150,283,37,83,0,0,0,0,83,,
31/12/2021,30087650459,Teachers Mutual Bank Limited,291,0,"1,512",0,"10,119","2,418",2,0,0,"6,349","1,676",51,134,0,"8,211",0,0,0,207,206,220,122,335,3,"8,114",30,"8,605",,
31/12/2021,84084066419,The Bank of New York Mellon,19,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,4,,
31/12/2021,34133513827,The Bank of Nova Scotia,1,0,"1,045",0,"5,938",0,"4,533",61,0,0,0,0,0,0,"4,594",0,0,0,"3,686","3,686","2,250",0,150,0,0,0,150,,
31/12/2021,54087650940,The Capricornian Ltd,16,0,85,0,402,0,15,0,0,227,43,0,10,0,296,,0,,,0,10,31,6,3,320,3,363,,
31/12/2021,65117925970,The Hongkong and Shanghai Banking Corporation Limited,"1,363",0,"3,359",3,"19,088",0,"9,745",645,17,0,0,0,0,0,"10,406","1,776",3,0,"1,472","1,472","1,499",129,113,0,0,0,242,,
31/12/2021,62126279918,The Northern Trust Company,"4,919",0,"3,544",0,"7,043",0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,"11,384","3,375",0,4,"14,763",,
31/12/2021,49103575042,Tyro Payments Limited,87,0,74,0,434,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,100,0,0,0,1,101,,
31/12/2021,47088129613,UBS AG,"2,770","-1,435",13,0,"15,955",0,121,"7,255",0,0,0,0,0,0,"7,376","2,080",0,"1,145",0,0,"6,022",1,"3,700",106,0,0,"3,807",,
31/12/2021,17135448047,Union Bank of India,26,0,57,0,290,0,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,14,0,0,0,14,,
31/12/2021,56060785284,United Overseas Bank Limited,206,0,"6,042",0,"15,892",0,"8,694",685,0,0,0,0,0,0,"9,379",196,0,1,"7,478","7,478","3,802",275,667,0,2,0,944,,
31/12/2021,11087650315,Unity Bank Limited,205,0,331,0,"1,966",282,84,9,1,712,190,5,50,8,"1,059",0,0,0,0,0,187,110,218,8,883,70,"1,288",,
31/12/2021,44087651769,Victoria Teachers Limited,216,0,655,0,"4,003",711,4,4,0,"1,844",430,14,36,0,"2,331",7,0,0,0,0,0,121,108,4,"2,672",37,"2,942",,
31/12/2021,67622375722,volt bank limited,20,0,58,0,120,1,0,0,0,22,9,0,0,0,31,0,0,0,0,0,0,0,10,0,79,0,90,,
31/12/2021,98087651116,Warwick Credit Union Ltd,75,0,0,0,396,0,47,1,0,214,50,0,4,2,317,,0,,,0,0,49,13,12,262,30,366,,
31/12/2021,48087651787,WAW Credit Union Co-Operative Limited,35,0,126,0,646,0,30,3,0,358,80,0,3,0,474,,0,,,0,0,59,32,27,462,24,604,,
31/12/2021,33007457141,Westpac Banking Corporation,"79,914","6,674","75,077",0,"969,357","162,844","133,397","26,125",713,"272,609","153,746","6,173","20,224",176,"613,163","38,395",0,"8,359","29,419","49,804","124,105","146,833","77,249","27,965","253,925","2,687","508,658",,
31/12/2021,38616463855,Wise Australia Pty Ltd,282,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,166,0,255,,
31/12/2021,94150148299,Woori Bank,27,0,42,0,700,0,629,0,0,0,0,0,0,1,629,0,0,0,225,7,392,36,55,0,0,3,94,,
30/11/2021,13621804813,86 400 Ltd,31,0,282,0,"1,627",0,0,0,0,876,339,0,0,0,"1,215",58,0,0,0,0,0,0,745,0,658,0,"1,403",,
30/11/2021,70744009137,ABN AMRO Bank N.V.,2,0,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30/11/2021,48848300367,Agricultural Bank of China Limited,646,0,"3,511",0,"5,531",0,"1,812",540,0,0,0,0,0,0,"2,352",0,0,0,"1,682","4,366","1,500",203,0,0,0,0,203,,
30/11/2021,15081596009,AMP Bank Limited,878,0,"2,371",0,"29,577","8,119",814,616,0,"14,193","5,522",0,541,0,"21,686",0,0,"6,654",254,254,400,"2,926","1,549",200,"6,201",98,"10,974",,
30/11/2021,37002950745,Arab Bank Australia Limited,76,0,273,0,"1,277",123,260,0,0,249,218,0,57,4,787,0,0,0,1,1,0,291,233,11,381,5,920,,
30/11/2021,11005357522,Australia and New Zealand Banking Group Limited,"73,085","29,272","40,110",55,"666,696","80,855","118,246","12,861",924,"173,749","86,919","5,207","11,318","1,062","410,287","18,588",56,636,"31,327","57,079","68,357","130,154","53,547","9,315","151,037","4,681","348,734",,
30/11/2021,11087651125,Australian Central Credit Union Ltd,103,0,"1,433",0,"11,644","2,991",29,0,0,"6,361","1,514",37,346,0,"8,286",,0,,,44,463,516,172,4,"6,568",14,"7,273",,
30/11/2021,48087649741,Australian Military Bank Ltd,55,0,200,0,"1,934",412,0,0,0,985,204,11,58,0,"1,259",0,0,0,100,100,75,41,257,44,776,121,"1,238",,
30/11/2021,93087650726,Australian Mutual Bank Ltd,169,0,411,0,"2,087",331,16,0,0,814,273,8,41,1,"1,152",0,0,0,0,0,24,66,34,0,"1,388",44,"1,532",,
30/11/2021,14087822491,Australian Settlements Limited,352,0,113,0,477,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,2,453,0,0,0,455,,
30/11/2021,30087652079,Australian Unity Bank Limited,41,0,189,0,"1,327",225,35,76,0,554,236,4,4,0,909,0,0,0,0,0,0,35,94,4,874,17,"1,024",,
30/11/2021,40087652060,Auswide Bank Ltd,132,0,322,0,"5,148","1,138",115,0,0,"2,630",779,1,24,0,"3,550",1,0,0,342,342,212,662,251,170,"1,854",42,"2,979",,
30/11/2021,32087652088,B&E Ltd,104,0,109,0,"1,760",232,30,0,0,804,186,1,21,0,"1,042",232,0,0,0,0,5,70,109,5,923,17,"1,124",,
30/11/2021,21087651607,Bank Australia Limited,173,354,"1,460",0,"10,638","1,800",311,24,0,"5,062","1,123",17,166,86,"6,791",0,0,4,151,151,278,511,127,13,"6,204",234,"7,088",,
30/11/2021,51064874531,"Bank of America, National Association","2,933",-283,"4,239",0,"18,328",0,"2,879","7,205",0,0,0,0,0,0,"10,083",0,0,"1,258",0,4,0,"3,163","2,109",0,0,2,"5,273",,
30/11/2021,48125314249,Bank of Baroda,153,0,0,0,599,0,462,0,0,0,0,0,0,0,462,0,0,0,0,0,0,10,94,0,7,0,111,,
30/11/2021,28110077622,Bank of China (Australia) Limited,283,168,478,0,"5,678",455,37,160,0,"3,361","1,107",2,1,0,"4,667",40,0,0,809,527,400,21,116,0,"2,828",0,"2,965",,
30/11/2021,29002979955,Bank of China Limited,"1,548","1,096","3,104",0,"24,015",0,"15,898","1,452",100,0,0,0,0,0,"17,450",675,0,2,"2,920","3,704","3,724","8,120","5,393",198,0,0,"13,710",,
